name,url,country,region,subregion,vertical,base_m,top_m,km,lifts,price,list
Kaiseregg/Riggisalp – Schwarzsee,https://www.skiresort.com/en/ski-resort/kaiseregg-riggisalp-schwarzsee/,Switzerland,Espace Mittelland,Fribourg / Schwarzsee-Senseland,704,1047,1751,20,6,"SFr. 49,- / approx. € 52,-",slope+alt
Präbichl – Vordernberg,https://www.skiresort.com/en/ski-resort/praebichl-vordernberg/,Austria,Styria (Steiermark),Hochsteiermark,508,1100,1608,20,6,€ 53.50,slope+alt
Torgnon,https://www.skiresort.com/en/ski-resort/torgnon/,Italy,Aosta Valley (Valle d'Aosta),Matterhorn (Monte Cervino),731,1515,2246,20,7,"€ 39,-",slope+alt
Brambrüesch/Dreibündenstein – Chur,https://www.skiresort.com/en/ski-resort/brambrueesch-dreibuendenstein-chur/,Switzerland,Eastern Switzerland,Graubünden / Chur,1004,1170,2174,20,5,"SFr. 46,- / approx. € 49,-",slope+alt
Jaun,https://www.skiresort.com/en/ski-resort/jaun/,Switzerland,Espace Mittelland,Fribourg / La Gruyere,548,1023,1571,20,4,"SFr. 44,- / approx. € 47,-",slope+alt
Darlux – Bergün,https://www.skiresort.com/en/ski-resort/darlux-berguen/,Switzerland,Eastern Switzerland,Graubünden / Bergün Filisur,1185,1384,2569,20,3,"SFr. 47,- / approx. € 50,-",slope+alt
Passo Maniva,https://www.skiresort.com/en/ski-resort/passo-maniva/,Italy,Lombardy,Brescia,577,1511,2088,20,7,"€ 38,-",slope+alt
Lizzola,https://www.skiresort.com/en/ski-resort/lizzola/,Italy,Lombardy,Bergamo,766,1262,2028,20,5,"€ 38,-",slope+alt
Kranjska Gora,https://www.skiresort.com/en/ski-resort/kranjska-gora/,Slovenia,Gorenjska (Upper Carniola),,475,807,1282,20,15,"€ 49,-",slope+alt
Sarn (Heinzenberg),https://www.skiresort.com/en/ski-resort/sarn-heinzenberg/,Switzerland,Eastern Switzerland,Graubünden / Viamala,775,1300,2075,20,4,"SFr. 36,- / approx. € 38,-",slope+alt
Bielmonte,https://www.skiresort.com/en/ski-resort/bielmonte/,Italy,Piedmont (Piemonte),Biella,392,1229,1621,20,7,"€ 48,-",slope+alt
"Argentera <span class=""closed-resort red""> (temporarily closed)</span>",https://www.skiresort.com/en/ski-resort/argentera/,Italy,Piedmont (Piemonte),Cuneo / Valle Stura di Demonte,850,1630,2480,20,4,,slope+alt
Autrans – La Sure,https://www.skiresort.com/en/ski-resort/autrans-la-sure/,France,Auvergne-Rhône-Alpes,Isère / Grenoble,660,1050,1710,20,7,€ 23.70,slope+alt
Gresse en Vercors,https://www.skiresort.com/en/ski-resort/gresse-en-vercors/,France,Auvergne-Rhône-Alpes,Isère / Grenoble,506,1245,1751,20,11,"€ 27,-",slope+alt
Schwanden – Sigriswil,https://www.skiresort.com/en/ski-resort/schwanden-sigriswil/,Switzerland,Espace Mittelland,Bern / Lake Thun (Thunersee),390,1070,1460,20,3,"SFr. 37,- / approx. € 39,-",slope+alt
Cima Piazzi/San Colombano – Isolaccia/Oga,https://www.skiresort.com/en/ski-resort/cima-piazzi-san-colombano-isolaccia-oga/,Italy,Lombardy,Valtellina / Alta Valtellina / Valdidentro,1018,1342,2360,19.6,10,"€ 60,-",slope+alt
Hochwang – Goldgruben,https://www.skiresort.com/en/ski-resort/hochwang-goldgruben/,Switzerland,Eastern Switzerland,Graubünden / Arosa,755,1544,2299,19.6,3,"SFr. 55,- / approx. € 58,-",slope+alt
Hochkar – Göstling,https://www.skiresort.com/en/ski-resort/hochkar-goestling/,Austria,Lower Austria (Niederösterreich),Mostviertel / Scheibbs,428,1380,1808,19.2,8,,slope+alt
Rosshütte – Seefeld,https://www.skiresort.com/en/ski-resort/rosshuette-seefeld/,Austria,Tyrol (Tirol),Innsbruck / Innsbruck-Land / Region Seefeld – Tirols Hochplateau,834,1230,2064,19.1,12,€ 59.50,slope+alt
Patscherkofel – Innsbruck-Igls,https://www.skiresort.com/en/ski-resort/patscherkofel-innsbruck-igls/,Austria,Tyrol (Tirol),Innsbruck region,956,1009,1965,19,6,"€ 52,-",slope+alt
Bernex,https://www.skiresort.com/en/ski-resort/bernex/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Haute-Savoie / Chablais,875,996,1871,19,11,€ 29.90,slope+alt
Unterbäch – Brandalp/Ginals,https://www.skiresort.com/en/ski-resort/unterbaech-brandalp-ginals/,Switzerland,Lemanic Region,Valais (Wallis) / Vispertal,1213,1230,2443,19,7,"SFr. 49,- / approx. € 52,-",slope+alt
"Chiomonte Frais <span class=""closed-resort red""> (temporarily closed)</span>",https://www.skiresort.com/en/ski-resort/chiomonte-frais/,Italy,Piedmont (Piemonte),Turin (Torino) / Susa Valley (Val di Susa),630,1460,2090,19,4,"€ 25,-",slope+alt
Monte Bondone,https://www.skiresort.com/en/ski-resort/monte-bondone/,Italy,Trentino-Alto Adige (Trentino-Südtirol),Trentino / Trento/​Monte Bondone/​Valle di Laghi/​Valle dell´Adige,901,1189,2090,18.8,4,"€ 54,-",slope+alt
Gréolières les Neiges,https://www.skiresort.com/en/ski-resort/greolieres-les-neiges/,France,Provence-Alpes-Côte d’Azur,Alpes-Maritimes / Grasse,400,1400,1800,18.6,9,"€ 27,-",slope+alt
Sportgastein,https://www.skiresort.com/en/ski-resort/sportgastein/,Austria,Salzburg (Salzburger Land),Pongau / Gastein,1065,1585,2650,18.2,3,€ 78.50,slope+alt
LeMelette – Gallio,https://www.skiresort.com/en/ski-resort/lemelette-gallio/,Italy,Venetia (Veneto),Vicenza / Asiago,320,1413,1733,18.2,4,"€ 43,-",slope+alt
Pfelders (Moos in Passeier),https://www.skiresort.com/en/ski-resort/pfelders-moos-in-passeier/,Italy,Trentino-Alto Adige (Trentino-Südtirol),South Tyrol (Südtirol) / Merano and Environs / Passeier Valley (Passeiertal),901,1601,2502,18,4,"€ 55,-",slope+alt
Ladurns,https://www.skiresort.com/en/ski-resort/ladurns/,Italy,Trentino-Alto Adige (Trentino-Südtirol),South Tyrol (Südtirol) / Eisacktal / Sterzing-Ratschings-Gossensass,890,1140,2030,18,3,"€ 57,-",slope+alt
Watles – Malles Venosta (Mals),https://www.skiresort.com/en/ski-resort/watles-malles-venosta-mals/,Italy,Trentino-Alto Adige (Trentino-Südtirol),South Tyrol (Südtirol) / Venosta Valley (Vinschgau) / Upper Venosta Valley (Obervinschgau),770,1750,2520,18,3,"€ 59,-",slope+alt
Minschuns – Val Müstair-Tschierv,https://www.skiresort.com/en/ski-resort/minschuns-val-muestair-tschierv/,Switzerland,Eastern Switzerland,Graubünden / Engadin Samnaun Val Müstair,547,2126,2673,18,4,"SFr. 42,- / approx. € 45,-",slope+alt
Cerkno,https://www.skiresort.com/en/ski-resort/cerkno/,Slovenia,Gorenjska (Upper Carniola),Europe / Slovenia / Goriška,352,935,1287,18,7,"€ 43,-",slope+alt
Hündle/Thalkirchdorf (Oberstaufen),https://www.skiresort.com/en/ski-resort/huendle-thalkirchdorf-oberstaufen/,Germany,Bavaria (Bayern),Swabia (Schwaben) / Oberallgäu / Nagelfluhkette,425,745,1170,18,8,"€ 49,-",slope
Le Semnoz,https://www.skiresort.com/en/ski-resort/le-semnoz/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Haute-Savoie / Annecy / Lac d’Annecy,254,1450,1704,18,10,€ 18.50,slope+alt
Méaudre,https://www.skiresort.com/en/ski-resort/meaudre/,France,Auvergne-Rhône-Alpes,Isère / Grenoble,588,1012,1600,18,8,€ 23.70,slope+alt
Panarotta 2002 – Valsugana,https://www.skiresort.com/en/ski-resort/panarotta-2002-valsugana/,Italy,Trentino-Alto Adige (Trentino-Südtirol),Trentino / Sugana Valley (Valsugana),484,1518,2002,18,5,"€ 30,-",slope+alt
Arvieux,https://www.skiresort.com/en/ski-resort/arvieux/,France,Provence-Alpes-Côte d’Azur,Hautes-Alpes / Briançon,650,1550,2200,18,6,€ 39.90,slope+alt
Koralpe,https://www.skiresort.com/en/ski-resort/koralpe/,Austria,Carinthia (Kärnten),Lower Carinthia (Unterkärnten) / Wolfsberg / Lavanttal,420,1650,2070,18,5,€ 41.50,slope+alt
Weinebene – Frantschach-Sankt Gertraud,https://www.skiresort.com/en/ski-resort/weinebene-frantschach-sankt-gertraud/,Austria,Carinthia (Kärnten),Lower Carinthia (Unterkärnten) / Wolfsberg / Lavanttal,306,1580,1886,18,8,€ 38.50,slope+alt
Mottarone,https://www.skiresort.com/en/ski-resort/mottarone/,Italy,Piedmont (Piemonte),Verbano-Cusio-Ossola,186,1305,1491,17.9,6,"€ 38,-",slope+alt
Steibis – Imberg (Oberstaufen),https://www.skiresort.com/en/ski-resort/steibis-imberg-oberstaufen/,Germany,Bavaria (Bayern),Swabia (Schwaben) / Oberallgäu / Nagelfluhkette,479,859,1338,17.6,12,"€ 52,-",slope+alt
Radstadt/Altenmarkt,https://www.skiresort.com/en/ski-resort/radstadt-altenmarkt/,Austria,Salzburg (Salzburger Land),Pongau / Salzburger Sportwelt / Radstadt / Europe / Austria / Salzburg (Salzburger Land) / Pongau / Salzburger Sportwelt / Altenmarkt-Zauchensee,721,850,1571,17.3,7,"€ 75,-",slope+alt
Sampeyre,https://www.skiresort.com/en/ski-resort/sampeyre/,Italy,Piedmont (Piemonte),Cuneo,865,995,1860,17.2,2,"€ 27,-",slope+alt
Hörnerbahn – Bolsterlang,https://www.skiresort.com/en/ski-resort/hoernerbahn-bolsterlang/,Germany,Bavaria (Bayern),Swabia (Schwaben) / Oberallgäu / Hörnerdörfer,771,894,1665,17,5,€ 54.50,slope+alt
Zugspitze,https://www.skiresort.com/en/ski-resort/zugspitze/,Germany,Bavaria (Bayern),Upper Bavaria (Oberbayern) / Zugspitz Region / Zugspitzland / Europe / Austria / Tyrol (Tirol) / Außerfern / Tiroler Zugspitz Arena,650,2000,2650,17,8,"€ 69,-",slope+alt
Kitzbüheler Horn,https://www.skiresort.com/en/ski-resort/kitzbueheler-horn/,Austria,Tyrol (Tirol),Tiroler Unterland / Kitzbühel (District) / Kitzbühel,1230,770,2000,17,10,"€ 54,-",slope+alt
Alpe di Mera – Scopello,https://www.skiresort.com/en/ski-resort/alpe-di-mera-scopello/,Italy,Piedmont (Piemonte),Vercelli,1057,682,1739,17,7,"€ 42,-",slope+alt
Thollon les Mémises,https://www.skiresort.com/en/ski-resort/thollon-les-memises/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Haute-Savoie / Chablais,504,1370,1874,17,15,"€ 30,-",slope+alt
Amden – Arvenbüel/Mattstock,https://www.skiresort.com/en/ski-resort/amden-arvenbueel-mattstock/,Switzerland,Eastern Switzerland,St. Gallen,753,931,1684,17,6,"SFr. 38,- / approx. € 40,-",slope+alt
Engstligenalp – Adelboden,https://www.skiresort.com/en/ski-resort/engstligenalp-adelboden/,Switzerland,Espace Mittelland,Bern / Bernese Oberland / Adelboden-Frutigen,382,1971,2353,17,8,,slope+alt
Lurisia – Monte Pigna,https://www.skiresort.com/en/ski-resort/lurisia-monte-pigna/,Italy,Piedmont (Piemonte),Cuneo,920,814,1734,17,5,"€ 28,-",slope+alt
"Grüntenlifte – Kranzegg (Rettenberg) <span class=""closed-resort red""> (temporarily closed)</span>",https://www.skiresort.com/en/ski-resort/gruentenlifte-kranzegg-rettenberg/,Germany,Bavaria (Bayern),Swabia (Schwaben) / Oberallgäu / Alpsee Grünten,800,900,1700,16.8,8,"€ 32,-",slope+alt
Petzen – Feistritz ob Bleiburg,https://www.skiresort.com/en/ski-resort/petzen-feistritz-ob-bleiburg/,Austria,Carinthia (Kärnten),Lower Carinthia (Unterkärnten) / Völkermarkt,1250,650,1900,16.7,6,€ 47.50,slope+alt
Ofterschwang/Gunzesried – Ofterschwanger Horn,https://www.skiresort.com/en/ski-resort/ofterschwang-gunzesried-ofterschwanger-horn/,Germany,Bavaria (Bayern),Swabia (Schwaben) / Oberallgäu / Hörnerdörfer,525,880,1405,16.5,7,€ 54.50,slope+alt
Muttereralm – Mutters/Götzens,https://www.skiresort.com/en/ski-resort/muttereralm-mutters-goetzens/,Austria,Tyrol (Tirol),Innsbruck region,907,897,1804,16.4,5,"€ 57,-",slope+alt
Hahnenkamm – Höfen/Reutte,https://www.skiresort.com/en/ski-resort/hahnenkamm-hoefen-reutte/,Austria,Tyrol (Tirol),Außerfern / Naturparkregion Reutte,1046,854,1900,16,3,"€ 52,-",slope+alt
Planneralm – Donnersbach,https://www.skiresort.com/en/ski-resort/planneralm-donnersbach/,Austria,Styria (Steiermark),Liezen / Schladming-Dachstein,400,1600,2000,16,6,"€ 62,-",slope+alt
Pian Munè – Paesana,https://www.skiresort.com/en/ski-resort/pian-mune-paesana/,Italy,Piedmont (Piemonte),Cuneo,530,1530,2060,16,4,"€ 23,-",slope+alt
Unterberg,https://www.skiresort.com/en/ski-resort/unterberg/,Austria,Lower Austria (Niederösterreich),Wiener Alpen,614,710,1324,16,5,€ 36.50,slope+alt
Gemeindealpe – Mitterbach am Erlaufsee,https://www.skiresort.com/en/ski-resort/gemeindealpe-mitterbach-am-erlaufsee/,Austria,Lower Austria (Niederösterreich),Mostviertel / Lilienfeld,826,800,1626,15.5,4,"€ 53,-",slope+alt
Ötscher – Lackenhof (Gaming),https://www.skiresort.com/en/ski-resort/oetscher-lackenhof-gaming/,Austria,Lower Austria (Niederösterreich),Mostviertel / Scheibbs,616,810,1426,15.5,7,,slope+alt
Heidbodme – Saas-Almagell,https://www.skiresort.com/en/ski-resort/heidbodme-saas-almagell/,Switzerland,Lemanic Region,Valais (Wallis) / Saas-Fee/​Saastal,663,1684,2347,15.4,7,"SFr. 56,- / approx. € 59,-",slope+alt
Zuoz – Pizzet/Albanas,https://www.skiresort.com/en/ski-resort/zuoz-pizzet-albanas/,Switzerland,Eastern Switzerland,Graubünden / Engadin St. Moritz,745,1720,2465,15,5,,slope+alt
Vent,https://www.skiresort.com/en/ski-resort/vent/,Austria,Tyrol (Tirol),Tiroler Oberland (region) / Imst (District) / Ötztal,746,1900,2646,15,4,"€ 51,-",slope+alt
Venet – Landeck/Zams/Fliess,https://www.skiresort.com/en/ski-resort/venet-landeck-zams-fliess/,Austria,Tyrol (Tirol),Tiroler Oberland (region) / Landeck / Tirol West,1432,780,2212,15,6,"€ 43,-",slope+alt
Monte Verena – Mezzaselva di Roana,https://www.skiresort.com/en/ski-resort/monte-verena-mezzaselva-di-roana/,Italy,Venetia (Veneto),Vicenza / Asiago,380,1640,2020,15,5,"€ 45,-",slope+alt
L'Essert – Abondance,https://www.skiresort.com/en/ski-resort/lessert-abondance/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Haute-Savoie / Portes du Soleil,794,936,1730,15,8,€ 27.50,slope+alt
Spiazzi di Gromo,https://www.skiresort.com/en/ski-resort/spiazzi-di-gromo/,Italy,Lombardy,Bergamo,549,1156,1705,15,4,"€ 35,-",slope+alt
